"ID","Name","Description","Model","Serial Number","Barcode","Additional Information","Location Name","Area","Parent Asset Name","Worker Email","Category","Purchase Date","Service Date","Purchase Price","Warranty Expiration Date","Residual Price","Useful Life (number)","Useful Life (unit)","Depreciation Rate","Track Check Ins/Outs","Check In/Out","Check In Procedure","Check Out Procedure","Created At","Status","Current Value","Parts Names","Team Names","Customer Assigned Names","Vendor Assigned Names","Manufacturer Name","Operating Schedule"
"qFSLkxTtWv"," Control PC CPC005","Rack computer, Control PC. 
Simulator Type : 4DX Server
Windows Version : 11 Pro
Control Software Installed : 4DXv1.05
Power Supply : 
Motherboard :  ASRock IBM-X1313
GPU : GEFORCE RTX 4070
CPU : i9-10900F
RAM :  32GB
Galil : None
Date : 
Other Software Installed :  NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, pulselock gamebuilds-2022,gamebuilds-2024, gamebuilds-2025, gamebuilds-wmr","Control PC","CPC005","CPC005",,"Pulseworks Shop",,,,,"","",,"",,"","","",,,,,"09/11/2025 07:25 AM","Operational",,"","","","",,
"HFAqh5BENZ"," VR Client PC VCM001","MSI Trident computer, VR Client PC. 
CMOS Batt : 6-2-2026
Headset Type : DPVR E4C
Windows Version : 11 Pro
Control Software Installed : VR Client Launcher 2.04
Power Supply : 450W
Motherboard : MSI MEG Z690i UNIFY
GPU : RTX 2070
CPU : i7-12700KF
RAM : 16GB DDR5 one stick
Galil : N/A
Date : 05-15-2026 Miheer and Ethen
Other Software Installed : Steam, SteamVR 2.12.14, TeamViewer, IntelBurnTest v2, Furmark v1.19.0.0, OpenHardwareMonitor v0.9.6, GeForce Driver, directx_Jun2010_redist, VC_redist.x64, VC_redist.x86, DPVRAssistantSetup3.9.26, HEVC Codec, Core Temp"," MSI Trident","VCM001","VCM001",,,,,,"Assets","","",,"",,"","","",false,,,,"06/03/2026 08:42 AM","Operational",,"","","","",,
"NQkJithTnh"," VR Client PC VCM051","
MSI Trident computer, VR Client PC. 
Simulator Type : PBS
Headset Type : HP
CMOS Battery: 9-8-25 
Windows Version : 10 PRO
Control Software Installed : VR Client Launcher 2.04
Power Supply : 
Motherboard : MSI MPG Z390I GAMING EDGE AC
GPU : NVIDIA GeForce RTX 2070
CPU : Intel Core i7-9700K
RAM : 16.0 GB
Galil : N/A
Date : 9-9-25
Other Software Installed : Steam, Steam VR v2.9.6, WMR, Team Viewer, OpenHardwareMonitor v0.9.6.
directx jun2010, vc redistx86, vs redistx64, hevc codec, geforce driver v572.83, gamebuilds-2022, gamebuilds-WMR, gamebuilds-2024"," MSI Trident","VCM051","VCM051",,"Midway - USS Midway Museum (FANA)",,,,,"","",,"",,"","","",false,,,,"09/10/2025 09:06 AM","Operational",,"","","","",,
"lBrGNPRJ1o","4DX2001","4DX Sim
Field upgraded with HP Reverb G2 headsets.
Returned to Pulseworks shop from FLEET deinstallation in 2025.","4DX","4DX2001","","4DX with Oculus headsets  headphone audio and windows 10 server","Pulseworks Shop","",,,"Assets","","",,"",0,"","","",false,,"","","08/20/2019 02:08 PM","",,"","","","",,
"tApyXsSYe2","4DX2002","4DX Sim","4DX",,,"Updated with HP Reverb G2 headsets 9/22.  Shipped to MSI 10/22","MSI-Museum of Science and Industry",,,"djohnson@pulseworksops.com",,"","10/12/2022",,"",0,"","","",false,,,,"08/20/2019 12:31 PM","Operational",,"","Chicago ","","",,
"ixevzJhsgq","4DX2010","4DX gen2 motionbase.  Fitted with 2080ti GPU's on clients and Vive Cosmos headsets","4DX Gen2",,"4DX2010",,"Alabama- USS Alabama Battleship (FANA)",,,,"VR Sim","","02/11/2020",,"",0,"","","",false,,,,"02/05/2020 10:48 AM","",,"","USS Alabama","","",,
"ExhAlOoIXU","4DXSH1-008","4DX Motionbase","4DX",,"4DXSH1-008",,"Pulseworks Shop",,,,,"","",,"",0,"","","",,,,,"08/20/2020 01:24 PM","Out of Service/Not at site",,"","Pulseworks Main Techs","","",,
"2TMrtvOPsM","4DXSH1-013",,"4DX",,"4DXSH1-013",,"Pulseworks Shop",,,,,"","",,"",0,"","","",,,,,"07/20/2018 11:06 AM","Out of Service/Not at site",,"","","","",,
"pEiA1NFKG4","4DXSH1-014",,"4DX",,"4DXSH1-014",,"Pulseworks Shop",,,,,"","",,"",0,"","","",,,,,"07/20/2018 11:07 AM","Out of Service/Not at site",,"","","","",,
"LbB4xTNLzP","4DXSH1-015","","4DX",,"4DXSH1-015","","GAAQ-Georgia Aquarium","Row 2",,,,"","",,"",0,"","","",false,,"","","07/20/2018 11:08 AM","Out of Service/Not at site",,"","GAAQ ","","",,
