"ID","Name","Address","Longitude","Latitude","Parent Location Name","Parent Location ID","Assigned To Emails","Team Assigned Names","Customer Assigned Names","Vendor Assigned Names"
"fFhvO1Ntwe","ARMY-National Museum of The United States Army","1775 Liberty Dr, Fort Belvoir, VA 22060, USA",-77.16971649999999,38.7199672,"","","","ARMY,DC","",""
"7XaKMpqkoH","Alabama- USS Alabama Battleship (FANA)","2703 Battleship Pkwy, Mobile, AL 36603, USA",-88.05056468523127,30.70691688343017,"","","","USS Alabama","",""
"mKiyfAR0pX","Brevard Zoo","8225 N Wickham Rd, Melbourne, FL 32940, USA",-80.7149269,28.2251306,"","","","","",""
"foVIB95bCS","CMA","249 Windward Passage, Clearwater Beach, FL 33767, USA",-82.8192363,27.9768504,"","","","","",""
"2ztXc5FLn9","COSI-Center of Science and Industry","333 West Broad Street, Columbus, OH 43215, USA",-83.00688421779097,39.96078843005106,"","","mbrubaker@cosi.org","COSI","",""
"v7IDV4LBev","CSC-California Science Center","700 Exposition Park Dr, Los Angeles, CA 90037, United States",-118.2873699,34.0162494,"","","1649867945+mvitale@pulseworks.com","CSC","",""
"HqT2vWlwYt","FMNH-Field Museum of Natural History","1400 South Lake Shore Drive, Chicago, IL 60605, USA",-87.61698620000004,41.8661733,"","","1664827284+lvenegas@pulseworksops.com","Chicago ","",""
"DEJ1XReB1L","Fleet Science Center","1875 El Prado, San Diego, CA 92101, USA",-117.1469718,32.7308603,"","","1743414541+kadjemian@rhfleet.org","FLEET","",""
"tBh52ZCegZ","GAAQ-Georgia Aquarium","225 Baker St, Atlanta, GA 30313, United States",-84.3950751,33.7634299,"","","bazul@pulseworksops.com,1734625832+teamleadgaaq@pulseworksops.com,mchristopher@pulseworksops.com","GAAQ ","",""
"Tp3qWvDkEO","Great Lakes Science Center","601 Erieside Ave, Cleveland, OH 44114, USA",-81.696703,41.5075023,"","","","","",""
"IPAnfsuP1N","HAZY-Steven F. Udvar-Hazy Center","14390 Air and Space Museum Pkwy, Chantilly, VA 20151",-77.4310992,38.8942786,"","","1664827265+rsamotra@pulseworks.com","DC","",""
"Jg9TGXdwWG","Hornet- USS Hornet Sea Air & Space Museum (FANA)","707 W Hornet Ave, Alameda, CA 94501, USA",-122.3031335,37.7727717,"","","","HORNET","",""
"FS8LORSa6k","Intrepid - Intrepid Sea Air & Space Museum (FANA)","Pier 86, One Intrepid Square  New York, NY",-73.99961471557617,40.76455136505512,"","","","INTREPID","",""
"VryU95E8dv","LEX-USS Lexington Museum (FANA)","2914 N Shoreline Blvd, Corpus Christi, TX 78402, USA",-97.3887464,27.8151883,"","","","LEX","",""
"MiTiap5jDS","LSC-Liberty Science Center","222 Jersey City Blvd, Jersey City, NJ 07305, USA",-74.054482,40.7083118,"","","exhibitmaintenance@lsc.org","","",""
"ysPT8k6xP4","MOF-Museum of Flight","9404 East Marginal Way South, Seattle, WA 98108, USA",-122.296384,47.517993,"","","1649868049+chernandez@museumofflight.org","MOF","",""
"3CoqkC82Hy","MOSI Tampa","4801 E Fowler Ave, Tampa, FL 33617, USA",-82.4044188,28.0536294,"","","1686854408+exhibits@mosi.org","MOSI","",""
"sK4EYT3pXg","MSI-Museum of Science and Industry","5700 South Lake Shore Drive, Chicago, IL 60637, United States",-87.5829263,41.79204379999999,"","","1734625943+anarosa.sev@gmail.com,1649935612+djohnson@pulseworks.com,1666636786+mchambers@pulseworks.com","Chicago ","",""
"Fq0zup6ZVD","Midway - USS Midway Museum (FANA)","910 North Harbor Drive, Oceanside, San Diego, CA, USA",-117.391204,33.2068507,"","","","Midway ","",""
"RVHSCT8dNH","Museum of Aviation","1942 Heritage Blvd, Robins AFB, GA 31098, USA",-83.5878582,32.59213949999999,"","","","MOA","",""
"ta8cXDyOMk","NMAH-National Museum of American History","1200 Constitution Ave. NW, Washington, DC 20560, USA",-77.0299395,38.8912166,"","","1632481500+nstjohn@pulseworks.com","DC","",""
"CLQoIgtsFc","Patriots Point-Patriots Point Naval & Maritime Museum (FANA)","40 Patriots Point Rd, Mt Pleasant, SC 29464, USA",-79.9056119,32.7905419,"","","1632481536+emacdonald@pulseworksops.com","Patriots Point","",""
"2HGBE5IaPK","Pensacola-National Naval Aviation Museum (FANA)","1750 Old Radford Boulevard, Pensacola, FL 32508, USA",-87.2911084,30.3465605,"","","","Pensacola","",""
"hVj7NRlwZI","Pulseworks Shop","5100 Highlands Pkwy SE, Smyrna, GA 30082, USA",-84.5108308,33.8291533,"","","","","",""
"JPmMAHxHmB","Pulseworks Warehouse","4630 B Frederick Drive Atlanta GA 30336",-84.5380070270437,33.765677562756856,"","","","","",""
"vTyAjUDtkF","SCH-Space Center Houston","1601 NASA Road 1, Houston, TX 77058, United States",-95.0942797,29.5540567,"","","1666639165+facilities@spacecenter.org,systems@spacecenter.org","SCH Staff","",""
"TWE6Y4gNnA","SLSC-St. Louis Science Center","5050 Oakland Ave, St. Louis, MO 63110, USA",-90.27041899999999,38.6289922,"","","slsc@pulseworksops.com","SLSC","",""
"HxYTdjKu4T","USAFM-National Museum of the United States Air Force","1100 Spaatz Circle, Riverside, OH 45431, USA",-84.1131326,39.78034,"","","nbuerschen@afmuseum.com","USAFM","",""
"gA4dLDrrSj","USSRC-U.S. Space and Rocket Center","1 Tranquility Base, Huntsville, AL, USA",-86.6541029,34.7123741,"","","ussarc@pulseworksops.com","USSaRC","",""
