"ID","Name","Part Number","Location Name","Description","Quantity","Cost per unit","Barcode","Area","Minimum Quantity","Maximum Quantity","Additional Part Details","Category","Mark Non-Stock","Mark Critical","Asset Names","Assigned User Emails","Assigned Team Names","Assigned Vendor Names","Assigned Customer Names","Tags"
"0luTWEloTG","GAAQ-VR Face Shields",,"GAAQ-Georgia Aquarium","1 bag 100 count",34,"15","GAAQ-FaceShield","0","4",,"","Cleaning",false,,"","","","","",""
"KQpS5a2it2","GAAQ-Liquid Disenfectant Spray",,"GAAQ-Georgia Aquarium","1 Gallon",1,"19.97","GAAQ-LiquidDisenfectant","0","1",,"","Cleaning",false,,"","","","","",""
"HIahS3YnC0","GAAQ-Hand sanitizer",,"GAAQ-Georgia Aquarium","1 Gallon",1,"0","GAAQ-HandSanitizer","0","1",,"","Cleaning",false,,"","","","","",""
"EYBFOoEHcD","GAAQ-Disposable Gloves",,"GAAQ-Georgia Aquarium","1 box 100 count",1,"16.99","GAAQ-Gloves","0","1",,"","Cleaning",false,,"","","","","",""
"DlXVDF9iq4","GAAQ-Cleaning rags",,"GAAQ-Georgia Aquarium","1 box 200 count",6,"11.48","GAAQ-Rags","0","1",,"","Cleaning",false,,"","","","","",""
"J81Ne3PpCa","GAAQ-Febreze",,"GAAQ-Georgia Aquarium","1 27oz",3,"4.99","GAAQ-Febreeze","0","1",,,"Cleaning",false,,"","","","","",""
"PWwv0doyfD","GAAQ-Fabuloso",,"GAAQ-Georgia Aquarium","1 Gallon",2,"2.89","GAAQ-Fabuloso","0","1",,,"Cleaning",false,,"","","","","",""
"wL0MGWEemE","GAAQ-409 Cleaner",,"GAAQ-Georgia Aquarium","1 32oz",2,"3.79","GAAQ-409","0","1",,,"Cleaning",false,,"","","","","",""
"Sz9SktIllw","GAAQ-Glass Cleaner",,"GAAQ-Georgia Aquarium","1 23oz",3,"1.22","GAAQ-Windex","0","1",,,"Cleaning",false,,"","","","","",""
"foYqCHKaOH","GAAQ-Armoral Multi Purpose",,"GAAQ-Georgia Aquarium","1 160z",1,"4.99","GAAQ-Armoral","0","1",,,"Cleaning",false,,"","","","","",""
"GoI7jxllej","GAAQ-Trash Bags",,"GAAQ-Georgia Aquarium","1 Box 500",27,"11.99","GAAQ-TrashBags","0","1",,,"Cleaning",false,,"","","","","",""
"ZRzZAhBt8N","GAAQ-Paper Towels",,"GAAQ-Georgia Aquarium","1 Box  1000 Count",3,"19.95","GAAQ-PaperTowels","0","1",,,"Cleaning",false,,"","","","","",""
"tHMD89WgoK","GAAQ-Microfiber Dusters flex",,"GAAQ-Georgia Aquarium","1 unit",2,"15.95","GAAQ-Duster","0","1",,,"Cleaning",false,,"","","","","",""
"hyVZ3jiiHB","GAAQ-Micofiber Cloths",,"GAAQ-Georgia Aquarium","12 Pack",12,"14.97","GAAQ-Microfiber","0","1",,,"Cleaning",false,,"","","","","",""
"ADUT6fn0hk","MOA-VR Face Shields",,"Museum of Aviation","1 bag 150 count",10,"15",,"0","2",,,"cleaning",false,,"","","","","",""
"R4wv3wCECc","MOSI-VR Face Shields",,"MOSI Tampa","1 bag 100 count",12,"15",,"0","2",,,"cleaning",false,,"","","","","",""
"HKyAIfsNYx","FLEET-VR Face Shields",,"Fleet Science Center","1 bag 100 count",1,"15",,"0","2",,,"cleaning",false,,"","","","","",""
"tEPFwOEAN1","DMNS-VR Face Shields",,"","1 bag 100 count",13,"15",,"0","2",,,"cleaning",false,,"","","","","",""
"plyPUnkDDy","MSC-VR Face Shields",,"","1 bag 100 count",0,"15",,"0","2",,,"cleaning",false,,"","","","","",""
"aFCDUX02Sd","ARMY-VR Face Shields",,"ARMY-National Museum of The United States Army","1 bag 100 count",17,"15",,"0","3",,,"cleaning",false,,"","","ARMY","","",""
"1vGL0e9shv","MOF-Joystick Covers",,"MOF-Museum of Flight","1 box 1000 count Disposable joystick covers",0,"11.5",,"0","2",,,"cleaning",false,,"","","","","",""
"5RFi5wGxli","SLSC-Joystick Covers",,"SLSC-St. Louis Science Center","1 box 1000 count",3,"11.5",,"0","2",,,"cleaning",false,,"","","","","",""
"Cs8Pmy3Wsx","USAFM-Joystick Covers",,"USAFM-National Museum of the United States Air Force","1 box 1000 count",11,"11.5",,"0","2",,,"cleaning",false,,"","","","","",""
"wXiA4nhM2m","NP-Glass Cleaner",,"","1 23oz",-1,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"MSjMGAFMrL","NP-VR Face Shields",,"","1 bag 100 count",10,"15",,"0","4",,,"Cleaning",false,,"","","","","",""
"CFBXEMjA0g","NP-Trash Bags",,"","1 Box 500",6,"11.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"iHlRjsZDBv","NP-Paper Towels",,"","1 Box  1000 Count",2,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"HB8JaLhv43","NP-Microfiber Dusters flex",,"","1 unit",2,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"sjEQ297Du0","NP-Micofiber Cloths",,"","12 Pack",12,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"s9sTeMhKOq","NP-Liquid Disenfectant Spray",,"","1 Gallon",0,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"5Jxu5RpFGM","NP-Hand sanitizer",,"","1 Gallon",1,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"pc2EFnTyXv","NP-Febreze",,"","1 27oz",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"DLPauTkRbU","NP-Fabuloso",,"","1 Gallon",0,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"1XyTMz2Ij7","NP-Disposable Gloves",,"","1 box 100 count",0,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"GyDaXrVhmg","NP-Cleaning rags",,"","1 box 200 count",0,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"bPGzWNrVwE","NP-Armoral Multi Purpose",,"","1 160z",1,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"0eU9ByYEWk","NP-409 Cleaner",,"","1 32oz",-1,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"EZZpQyARGZ","MSI-Glass Cleaner",,"MSI-Museum of Science and Industry","1 23oz",0,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"V4vYpNgH8H","MSI-VR Face Shields",,"MSI-Museum of Science and Industry","1 bag 100 count",0,"15",,"0","4",,,"Cleaning",false,,"","","","","",""
"SjC2BqVaBi","MSI-Trash Bags",,"MSI-Museum of Science and Industry","1 Box 500",2,"11.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"bDdei1hCHt","MSI-Paper Towels",,"MSI-Museum of Science and Industry","1 Box  1000 Count",0,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"cSvutXQ6sa","MSI-Microfiber Dusters flex",,"MSI-Museum of Science and Industry","1 unit",0,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"OHGXpguIDA","MSI-Micofiber Cloths",,"MSI-Museum of Science and Industry","12 Pack",0,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"AqOMGrkaUe","MSI-Liquid Disenfectant Spray",,"MSI-Museum of Science and Industry","1 Gallon",0,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"0Ji8PmHEiu","MSI-Hand sanitizer",,"MSI-Museum of Science and Industry","1 Gallon",1,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"3nBOocawUZ","MSI-Febreze",,"MSI-Museum of Science and Industry","1 27oz",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"5Xal0Lo6g8","MSI-Fabuloso",,"MSI-Museum of Science and Industry","1 Gallon",0,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"yVH9uXq5cO","MSI-Disposable Gloves",,"MSI-Museum of Science and Industry","1 box 100 count",1,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"QeKFriSGss","MSI-Cleaning rags",,"MSI-Museum of Science and Industry","1 box 200 count",4,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"pdYc7aoCeH","MSI-Armoral Multi Purpose",,"MSI-Museum of Science and Industry","1 160z",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"z7nz0fdFAA","MSI-409 Cleaner",,"MSI-Museum of Science and Industry","1 32oz",0,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"j9XNA4VUaU","MSI-Joystick Covers",,"MSI-Museum of Science and Industry","1 box 1000 count Disposable joystick covers",6,"11.5",,"0","2",,,"Cleaning",false,,"","","","","",""
"vHzwep01R2","FMNH-Glass Cleaner",,"FMNH-Field Museum of Natural History","1 23oz",0,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"UYm6DNdIt2","FMNH-VR Face Shields",,"FMNH-Field Museum of Natural History","1 bag 150 count",8,"15",,"0","4",,,"Cleaning",false,,"","","","","",""
"dcfgFmN6e2","FMNH-Trash Bags",,"FMNH-Field Museum of Natural History","1 Box 500",3,"11.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"i7g7fekXjX","FMNH-Paper Towels",,"FMNH-Field Museum of Natural History","1 Box  1000 Count",5,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"ODGhrJHXgh","FMNH-Microfiber Dusters flex",,"FMNH-Field Museum of Natural History","1 unit",2,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"narTG8exnA","FMNH-Micofiber Cloths",,"FMNH-Field Museum of Natural History","12 Pack",4,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"SdUP7fYqZD","FMNH-Liquid Disenfectant Spray",,"FMNH-Field Museum of Natural History","1 Gallon",1,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"ELcQ7ABHXt","FMNH-Hand sanitizer",,"FMNH-Field Museum of Natural History","1 Gallon",1,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"AabCw9gl0s","FMNH-Febreze",,"FMNH-Field Museum of Natural History","1 27oz",4,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
