"ID","PM Template Id","PM Template Name","Schedule Type","Starts on Date","End on Date","Time Zone","This Reoccurs Every (Number)","This Reoccurs Every (Days/Weeks/Years)","On Day(s) of week","On Day(s) of month","Creation Cadence Interval","Creation Cadence Frequency","Is Next Occurrence Based On Completion (Yes/No)","Last Work Order Due Date","Next Work Order Due Date","Next Trigger Date","Asset Id","Asset Name","Location Id","Location Name","Meter Id","Meter Name","Meter Condition (Every/Less Than/Greater Than/Exactly)","Meter Condition Value","Meter Due Frequency","Meter Due Interval","Primary Assignee Id","Primary Assignee Email","Additional Assignee IDs","Additional Assignee Emails","Team Id","Team Name","Schedule Paused (Yes/No)"
"65dd054da05b110df33f8d48","65dd054da05b110df33f8d47","Annual PM-LSC-ESP","calendar","09/20/2022 11:16 AM","","America/New_York",1,"year(s)","","",1,"year(s)","yes","06/17/2027 09:00 AM","","","B3dzP3ax7r","ESP018","MiTiap5jDS","LSC-Liberty Science Center","","","",,"",,"ylBAU3AZYr","maintenance@pulseworks.com","","","","",""
"65dd0550a05b110df33fc869","65dd0550a05b110df33fc868","Monthly - Army - VR Arena","calendar","01/17/2022 09:17 AM","03/17/2026 08:33 AM","America/New_York",1,"month(s)","","",1,"month(s)","yes","","","","wtCs41BVD9","VRA001","fFhvO1Ntwe","ARMY-National Museum of The United States Army","","","",,"",,"yV6pEAj4zw","mnorris@pulseworks.com","","","nipKATx7wP","DC",""
"65dd0551a05b110df33fe2b9","65dd0551a05b110df33fe2b8","Monthly PM-Hornet-Galaxy","calendar","08/04/2022 11:25 AM","03/17/2026 08:33 AM","America/New_York",1,"month(s)","","",1,"month(s)","yes","","","","IZwCbY3AVU","FANA-512 Galaxy","Jg9TGXdwWG","Hornet- USS Hornet Sea Air & Space Museum (FANA)","","","",,"",,"iJGLx3kH3a","1743414541+jose.ferreira@uss-hornet.org","ylBAU3AZYr","maintenance@pulseworks.com","","",""
"65dd0559a05b110df340785b","65dd0559a05b110df340785a","Monthly - HAZY- VRT","calendar","01/07/2022 11:24 AM","","America/New_York",1,"month(s)","","",1,"month(s)","yes","08/03/2026 09:00 AM","","","vLYZaoYhlV","VRT009","IPAnfsuP1N","HAZY-Steven F. Udvar-Hazy Center","","","",,"",,"yV6pEAj4zw","mnorris@pulseworks.com","","","nipKATx7wP","DC",""
"65dd0560a05b110df341695c","65dd0560a05b110df341695b","Monthly PM SLSC ESP","calendar","11/23/2021 02:36 PM","","America/New_York",1,"month(s)","","",1,"month(s)","yes","06/05/2026 09:00 AM","","","KISjbUZ45j","ESP013","TWE6Y4gNnA","SLSC-St. Louis Science Center","","","",,"",,"otsApyrEFw","slsc@pulseworksops.com","","","CGCg5KJWH9","SLSC",""
"65dd057da05b110df34494d0","65dd057da05b110df34494cf","Monthly - USAFM - Morphis","calendar","01/12/2022 05:10 PM","","America/New_York",1,"month(s)","","",1,"month(s)","yes","05/14/2025 11:21 AM","","","W8ABceRNPC","CM028","HxYTdjKu4T","USAFM-National Museum of the United States Air Force","","","",,"",,"wTuzIPvEC8","nbuerschen@afmuseum.com","","","8S4yVkCDCH","USAFM",""
"65dd0582a05b110df3452dad","65dd0582a05b110df3452dac","Weekly Cleaning GAAQ","calendar","03/21/2022 08:00 AM","01/18/2023 10:31 AM","America/New_York",1,"week(s)","","",1,"week(s)","yes","","","","BBimQaYjWq","Miscellaneous Equipment-GAAQ","","","","","",,"",,"7CJhFDUO8r","1743414541+mhanna@pulseworksops.com","","","IeAAh2HjZN","GAAQ ",""
"65dd0584a05b110df3456b13","65dd0584a05b110df3456b12","Annual PM-MOA-VRT","calendar","08/15/2022 11:01 AM","06/29/2026 06:49 AM","America/New_York",1,"year(s)","","",1,"year(s)","yes","","","","CiA6ByBI1J","VRT011","RVHSCT8dNH","Museum of Aviation","","","",,"",,"ylBAU3AZYr","maintenance@pulseworks.com","","","","",""
"65dd058ea05b110df346bf30","65dd058ea05b110df346bf2f","6 Month - USAFM - Morphis","calendar","06/19/2023 04:30 PM","","America/New_York",6,"month(s)","","",6,"month(s)","yes","01/15/2027 08:00 AM","","","W8ABceRNPC","CM028","HxYTdjKu4T","USAFM-National Museum of the United States Air Force","","","",,"",,"ylBAU3AZYr","maintenance@pulseworks.com","","","","",""
"65dd05a3a05b110df3492308","65dd05a3a05b110df3492307","6 Month-Alabama-4DX","calendar","05/01/2023 09:02 AM","","America/New_York",6,"month(s)","","",6,"month(s)","yes","12/30/2026 08:02 AM","","","ixevzJhsgq","4DX2010","7XaKMpqkoH","Alabama- USS Alabama Battleship (FANA)","","","",,"",,"ylBAU3AZYr","maintenance@pulseworks.com","","","","",""
"65dd05afa05b110df34a630b","65dd05afa05b110df34a630a","Monthly-MSI-4DX","calendar","11/17/2022 03:07 PM","","America/New_York",1,"month(s)","","",1,"month(s)","yes","08/10/2026 09:00 AM","","","SDYkfHEbLX","4DXSH2-003","sK4EYT3pXg","MSI-Museum of Science and Industry","","","",,"",,"yedcALmMjN","luper@pulseworks.com","vdz5ZYGpli","gmsi@pulseworksops.com","qB1HWqKD0B","Chicago ",""
"65dd05afa05b110df34a630d","65dd05afa05b110df34a630a","Monthly-MSI-4DX","calendar","11/17/2022 03:07 PM","","America/New_York",1,"month(s)","","",1,"month(s)","yes","08/10/2026 09:00 AM","","","tApyXsSYe2","4DX2002","sK4EYT3pXg","MSI-Museum of Science and Industry","","","",,"",,"yedcALmMjN","luper@pulseworks.com","vdz5ZYGpli","gmsi@pulseworksops.com","qB1HWqKD0B","Chicago ",""
